Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
M3,2020,Africa,Blue,Diesel,Manual,2.6,135006,77329,7967,High
M5,2023,North America,Red,Diesel,Automatic,3.8,184440,55731,3267,Low
7 Series,2016,South America,White,Electric,Automatic,4.7,175745,56988,5583,Low
X6,2016,Middle East,Silver,Electric,Manual,1.5,149693,109752,3286,Low
X3,2024,Africa,Red,Petrol,Manual,2,95051,116493,2206,Low
X6,2015,Middle East,Red,Diesel,Manual,1.9,188434,31544,5980,Low
X6,2024,South America,Black,Hybrid,Manual,4.7,48591,64222,3587,Low
5 Series,2012,Middle East,Red,Petrol,Automatic,3.8,31503,46238,8073,High
i3,2015,Asia,Silver,Petrol,Automatic,4.8,120778,119377,1439,Low
X5,2024,Asia,Blue,Petrol,Automatic,3.5,142981,99573,1807,Low
i8,2023,Middle East,Red,Electric,Manual,3.1,72474,111191,3239,Low
i3,2021,Asia,Blue,Hybrid,Automatic,4.3,141008,51159,7499,High
X6,2017,South America,White,Petrol,Manual,2.1,55206,115816,9525,High
X1,2017,North America,Grey,Electric,Automatic,2.8,110474,84958,8806,High
X6,2020,South America,Silver,Petrol,Manual,3.1,29324,64197,2140,Low
X1,2022,Europe,Blue,Hybrid,Automatic,2.5,188911,63310,1361,Low
M3,2018,Africa,Black,Hybrid,Automatic,2.8,107084,115741,5760,Low
M3,2024,South America,Silver,Diesel,Manual,1.8,40984,68436,3883,Low
M3,2010,Europe,Black,Electric,Automatic,2.2,189096,64415,2755,Low
i8,2023,Asia,Red,Electric,Automatic,2.7,155259,76903,2578,Low
X5,2010,Middle East,Silver,Diesel,Manual,4.3,191652,45513,5904,Low
X3,2012,South America,Black,Diesel,Automatic,2.1,61332,114568,9529,High
X5,2012,Africa,Silver,Diesel,Manual,2.7,14890,102463,3212,Low
X5,2019,Africa,White,Diesel,Manual,1.7,146731,68602,243,Low
X1,2017,Europe,Grey,Electric,Manual,3.4,133075,79015,635,Low
5 Series,2024,South America,White,Petrol,Automatic,3.6,170451,57017,3473,Low
X6,2019,Middle East,Black,Petrol,Manual,4.5,160666,73246,2688,Low
X6,2010,Middle East,Silver,Hybrid,Automatic,4.4,192544,50654,624,Low
X6,2022,Asia,Grey,Hybrid,Automatic,2.5,150159,32520,715,Low
M5,2011,Europe,Blue,Petrol,Manual,2,193158,82541,6150,Low
3 Series,2011,North America,Grey,Electric,Automatic,2,72055,39548,4288,Low
5 Series,2012,Africa,Red,Petrol,Automatic,4.9,173583,31226,5446,Low
i3,2022,Europe,Black,Petrol,Automatic,3.9,31789,48063,1998,Low
5 Series,2015,Europe,Black,Petrol,Manual,1.6,15875,93291,9810,High
5 Series,2010,Europe,Black,Diesel,Automatic,2,3586,95361,7283,High
X6,2011,Europe,White,Diesel,Automatic,3.2,135517,50446,8033,High
M5,2022,North America,White,Petrol,Manual,2.2,187738,64441,5224,Low
M5,2024,Asia,Black,Diesel,Automatic,4.3,93468,82383,1539,Low
M5,2022,Europe,White,Petrol,Manual,3.5,130550,83530,7854,High
X1,2010,Africa,Black,Diesel,Automatic,3.6,150005,107010,4707,Low
M5,2014,Africa,Grey,Petrol,Manual,3.1,194384,35781,1223,Low
X5,2022,Middle East,Black,Hybrid,Manual,2.4,177728,119366,4613,Low
X1,2022,Europe,Red,Diesel,Automatic,3.6,69908,54156,9655,High
i3,2016,Middle East,Silver,Electric,Manual,4,29408,89978,5249,Low
X5,2017,South America,Blue,Hybrid,Automatic,2.8,49334,109844,7637,High
i3,2019,Asia,Black,Electric,Manual,3.3,82530,102618,9290,High
7 Series,2010,Middle East,Red,Electric,Manual,4.4,46499,98465,2506,Low
i3,2016,North America,White,Electric,Automatic,2,135206,95636,3764,Low
X3,2022,North America,Grey,Petrol,Automatic,3.4,90673,43301,3232,Low
i3,2014,Europe,Red,Diesel,Manual,2.7,150299,50668,7518,High
X5,2019,Africa,Black,Diesel,Automatic,4,67603,57192,8435,High
X1,2010,Middle East,Silver,Diesel,Manual,1.6,165542,66839,229,Low
X5,2012,Africa,White,Hybrid,Manual,3.8,94698,111798,7793,High
5 Series,2016,Asia,Blue,Petrol,Automatic,1.9,13720,88318,1247,Low
i8,2019,Middle East,Red,Petrol,Automatic,1.7,165758,66414,1180,Low
X5,2010,Middle East,Black,Diesel,Manual,4,97453,111238,1469,Low
X1,2016,Africa,White,Petrol,Manual,3.7,147231,74531,205,Low
3 Series,2014,Middle East,Red,Petrol,Manual,4.6,155582,66129,6901,Low
M5,2010,North America,White,Hybrid,Automatic,3.3,2927,46063,8729,High
7 Series,2010,Africa,Silver,Electric,Automatic,3.4,39793,82019,8734,High
5 Series,2023,Middle East,Grey,Petrol,Manual,4,21803,107465,6787,Low
3 Series,2010,Middle East,Blue,Hybrid,Automatic,2.6,6739,48250,9640,High
i3,2020,Asia,Grey,Diesel,Manual,1.6,89096,38942,9424,High
X5,2018,Middle East,White,Electric,Automatic,2.3,172404,103585,1173,Low
7 Series,2020,Middle East,Black,Petrol,Manual,2.3,82380,88572,215,Low
7 Series,2022,South America,Silver,Petrol,Automatic,2.7,132133,32926,9205,High
X6,2012,Europe,Black,Hybrid,Manual,4.8,116181,30991,2937,Low
3 Series,2024,Middle East,White,Hybrid,Manual,4.3,2171,50492,2019,Low
3 Series,2022,North America,Red,Petrol,Manual,4.8,151076,96990,4904,Low
i8,2014,Asia,Silver,Diesel,Manual,5,158870,115574,8287,High
3 Series,2020,Middle East,White,Electric,Manual,3,70730,60204,388,Low
7 Series,2019,Europe,Black,Diesel,Automatic,2.3,193741,87461,2700,Low
X1,2021,South America,Red,Petrol,Manual,3.5,12278,114310,6208,Low
i3,2018,Europe,Silver,Hybrid,Automatic,4.6,71311,67083,622,Low
M3,2015,Europe,White,Petrol,Automatic,3.1,55334,43815,8368,High
5 Series,2021,Middle East,Silver,Hybrid,Automatic,3.3,46555,87027,6445,Low
3 Series,2018,Europe,Grey,Hybrid,Manual,2,139132,111347,1794,Low
X3,2017,Asia,Grey,Diesel,Automatic,3,36465,56583,4025,Low
X5,2017,North America,Blue,Electric,Automatic,2.9,11418,60460,8635,High
X6,2010,Africa,White,Electric,Manual,2.7,183981,68456,5058,Low
X6,2022,Middle East,Blue,Petrol,Automatic,4.6,112073,109423,1185,Low
M3,2018,North America,Grey,Hybrid,Manual,1.7,19245,67306,8240,High
3 Series,2015,North America,Red,Petrol,Manual,4.9,173402,110491,9853,High
7 Series,2018,Europe,Blue,Petrol,Manual,1.5,156501,74471,8255,High
i8,2012,Asia,White,Diesel,Automatic,4.8,81324,39448,6640,Low
i3,2021,Africa,Blue,Petrol,Automatic,3.4,138527,113783,348,Low
X5,2012,Africa,Red,Hybrid,Manual,4,105078,100396,1062,Low
M5,2015,Africa,Grey,Electric,Automatic,2.2,86192,50188,4015,Low
i3,2018,North America,Silver,Diesel,Automatic,3.8,175077,60164,2147,Low
X3,2016,Middle East,Silver,Electric,Manual,4.6,180526,88704,8166,High
X6,2023,Africa,White,Petrol,Automatic,2,93223,33542,1015,Low
5 Series,2022,North America,Red,Electric,Manual,1.9,79876,31421,9321,High
X1,2012,Middle East,Red,Hybrid,Manual,2.6,194493,104766,2682,Low
M5,2012,Europe,White,Diesel,Automatic,2.1,68711,60448,2152,Low
7 Series,2011,Europe,Black,Hybrid,Manual,1.9,48629,71858,7407,High
M3,2018,South America,Black,Electric,Automatic,3.9,51702,47300,1475,Low
M5,2022,South America,Grey,Hybrid,Manual,2.2,156424,118635,9213,High
X6,2024,Asia,Black,Petrol,Manual,3.8,29126,54492,9664,High
M3,2012,Middle East,Black,Diesel,Manual,4.5,10897,117288,7710,High
X3,2020,Middle East,Silver,Diesel,Automatic,3.8,100269,49448,6640,Low
X5,2014,Europe,Red,Electric,Automatic,1.9,159463,30758,748,Low
M3,2023,South America,Blue,Electric,Manual,3.5,93184,46841,5036,Low
X1,2023,Africa,Red,Diesel,Automatic,2.9,13552,112370,5189,Low
X5,2018,South America,Blue,Electric,Manual,2.7,167289,48063,121,Low
5 Series,2017,Europe,White,Diesel,Automatic,2.6,187525,30982,2229,Low
i8,2011,Europe,Red,Hybrid,Manual,4.8,134861,85834,3092,Low
X3,2012,South America,Blue,Hybrid,Manual,4.1,727,112704,5635,Low
X1,2011,Africa,Silver,Petrol,Manual,2,199161,62480,8503,High
X1,2017,North America,Silver,Petrol,Automatic,3.2,198352,119288,4418,Low
5 Series,2015,Middle East,White,Hybrid,Manual,2.6,150096,116277,3938,Low
7 Series,2015,Asia,Blue,Hybrid,Automatic,4.9,153835,78839,2936,Low
i8,2021,South America,Grey,Diesel,Automatic,4.9,79380,87409,3250,Low
3 Series,2024,South America,White,Hybrid,Manual,2.6,167279,80804,9636,High
3 Series,2018,South America,Black,Petrol,Manual,2.7,162594,56228,5365,Low
X5,2017,Europe,Red,Diesel,Automatic,3.6,33977,85555,177,Low
X3,2013,Europe,White,Diesel,Manual,3.2,104313,66654,7568,High
i8,2024,Europe,White,Petrol,Automatic,2.2,55088,110401,3732,Low
X3,2021,South America,Black,Petrol,Manual,3.8,100065,113921,7619,High
i3,2013,Middle East,Blue,Petrol,Manual,2.7,104003,34177,2388,Low
M5,2018,Middle East,Black,Diesel,Automatic,3.8,34775,61034,2126,Low
3 Series,2010,Africa,Grey,Diesel,Manual,2.8,2911,42067,6376,Low
X1,2022,Europe,Silver,Electric,Manual,4,163350,91757,7332,High
X5,2011,Middle East,Black,Electric,Manual,3.8,126184,89830,3613,Low
5 Series,2011,North America,Red,Petrol,Manual,3.3,34829,54914,5454,Low
X6,2022,North America,Grey,Electric,Automatic,4,89808,74782,1091,Low
5 Series,2022,South America,Silver,Diesel,Manual,3.1,191847,72436,7054,High
i3,2015,North America,Grey,Petrol,Manual,1.9,106290,79055,3695,Low
i8,2024,Africa,White,Hybrid,Automatic,2.1,119156,92009,9427,High
X3,2013,South America,Blue,Hybrid,Manual,2.4,69377,56919,6187,Low
i3,2022,Middle East,Blue,Electric,Manual,1.7,185606,38244,5099,Low
X1,2020,Middle East,Red,Petrol,Manual,4,199394,33076,6352,Low
M5,2019,Europe,Black,Diesel,Manual,2.8,109233,97946,3012,Low
7 Series,2022,North America,Silver,Electric,Automatic,1.8,102931,35349,4147,Low
X6,2012,Africa,Grey,Electric,Automatic,4.4,10459,53980,5703,Low
3 Series,2012,Middle East,Black,Petrol,Automatic,3.9,51084,110622,4536,Low
X6,2012,South America,Red,Electric,Manual,3.1,104696,113919,862,Low
i3,2015,Europe,Red,Hybrid,Automatic,2.4,114864,57320,5188,Low
M5,2023,North America,Red,Petrol,Manual,2,198379,82939,7457,High
i3,2017,South America,Red,Diesel,Automatic,3.1,192966,42481,6275,Low
X1,2020,North America,Red,Hybrid,Manual,4.6,35972,35724,9388,High
X1,2016,Asia,Grey,Petrol,Manual,2.2,111540,90303,7183,High
X6,2023,North America,Silver,Electric,Automatic,3.5,128864,31553,7400,High
X6,2013,Africa,White,Hybrid,Automatic,4.9,124424,33908,904,Low
X6,2020,Asia,Red,Hybrid,Manual,3.7,25652,39931,1661,Low
5 Series,2021,Europe,Blue,Petrol,Automatic,3,39182,75835,2323,Low
X1,2013,Asia,White,Petrol,Automatic,4,183009,101208,1781,Low
M5,2020,Africa,Grey,Hybrid,Manual,4.4,35665,40317,1477,Low
i8,2019,Asia,Blue,Diesel,Automatic,3.6,85763,72815,809,Low
M3,2024,North America,Blue,Electric,Manual,4.6,81313,65789,3137,Low
X5,2020,Africa,Black,Electric,Automatic,3.3,134892,105123,8670,High
5 Series,2020,North America,Red,Petrol,Manual,4.4,34004,52342,3404,Low
5 Series,2023,North America,White,Petrol,Automatic,4.8,36561,102314,9259,High
i8,2020,Middle East,Blue,Hybrid,Manual,3.3,19251,75501,3775,Low
M3,2011,Africa,Grey,Diesel,Manual,3.6,12451,103537,4593,Low
X6,2023,Middle East,Silver,Diesel,Automatic,3.6,11874,93915,5757,Low
M5,2010,Asia,Grey,Diesel,Automatic,4.2,15033,106640,8028,High
3 Series,2018,Asia,Red,Petrol,Manual,4.4,157921,86228,1876,Low
X1,2021,South America,Blue,Electric,Automatic,1.6,155565,39365,5259,Low
X1,2024,North America,Black,Electric,Manual,4.1,167617,99163,6860,Low
M3,2021,Africa,Silver,Diesel,Manual,4.2,44456,69578,4850,Low
M5,2011,Africa,Grey,Hybrid,Manual,4,28495,112331,9333,High
5 Series,2022,North America,White,Petrol,Automatic,4,135579,105054,4923,Low
X5,2017,Asia,Blue,Petrol,Manual,1.6,113973,41715,604,Low
X6,2024,Asia,White,Petrol,Manual,3,54523,116484,3178,Low
i3,2018,Europe,White,Diesel,Automatic,4.4,161310,118978,5362,Low
M5,2013,South America,Red,Electric,Manual,4.8,129031,111702,1509,Low
i8,2017,Middle East,Grey,Electric,Manual,2.3,144326,51150,9989,High
X1,2018,Africa,Grey,Electric,Automatic,3.5,21329,104707,8071,High
3 Series,2019,South America,Blue,Petrol,Manual,4.3,157615,107623,2002,Low
i8,2019,Africa,Blue,Diesel,Automatic,4.1,51427,78553,6314,Low
X5,2014,Middle East,Silver,Electric,Automatic,3.7,94815,39118,6188,Low
7 Series,2022,Africa,Grey,Electric,Automatic,1.6,1615,117623,1052,Low
M5,2023,Middle East,Blue,Electric,Manual,4,100117,63971,588,Low
X5,2016,Africa,Blue,Electric,Automatic,4.2,74010,66553,6786,Low
3 Series,2019,Middle East,White,Hybrid,Manual,4,12264,119994,3259,Low
i3,2013,Europe,White,Petrol,Automatic,4.2,190495,85951,3813,Low
5 Series,2010,North America,Grey,Diesel,Automatic,3,56103,93529,2913,Low
X1,2012,North America,White,Electric,Manual,5,64357,88417,2853,Low
3 Series,2014,Europe,White,Diesel,Manual,4.2,46012,88591,4139,Low
5 Series,2012,North America,Silver,Petrol,Automatic,3.5,91367,63106,6869,Low
i3,2021,Europe,Grey,Diesel,Manual,4.8,27465,35179,1056,Low
X3,2022,South America,White,Petrol,Manual,4.7,4259,81773,801,Low
M5,2020,North America,Grey,Petrol,Manual,4.4,32198,57698,8422,High
M5,2016,North America,Black,Hybrid,Manual,3.5,154482,73292,7598,High
X6,2021,North America,Blue,Petrol,Automatic,3.3,98434,77627,8096,High
i3,2018,Middle East,Blue,Diesel,Manual,2.7,33867,89487,5474,Low
5 Series,2024,North America,Silver,Hybrid,Automatic,2.4,140511,44038,9885,High
M3,2021,North America,Black,Electric,Manual,3.3,153150,50726,4872,Low
7 Series,2015,Africa,Black,Hybrid,Automatic,3.5,2418,44421,1550,Low
3 Series,2022,Africa,White,Diesel,Automatic,2.4,82269,109492,112,Low
X1,2019,Asia,Grey,Diesel,Automatic,4.7,103305,35111,2935,Low
i3,2010,North America,Grey,Diesel,Automatic,3.5,183956,67063,4323,Low
M3,2016,Europe,Grey,Petrol,Manual,3.3,104357,77312,3031,Low
i3,2024,Middle East,Silver,Diesel,Automatic,3,8211,31222,9752,High
X3,2012,Middle East,Silver,Electric,Manual,1.7,15374,87771,1619,Low
7 Series,2014,Middle East,Silver,Hybrid,Manual,4.6,155028,71195,9381,High
M5,2019,North America,Blue,Petrol,Manual,2.6,10078,105293,9941,High
M5,2013,Asia,Blue,Electric,Manual,3.7,65938,60958,6710,Low
M3,2019,North America,White,Petrol,Manual,3.6,75754,92108,9269,High
X6,2014,North America,Black,Hybrid,Automatic,3.5,69255,80946,6077,Low
X6,2014,Asia,Black,Hybrid,Automatic,3.3,102825,111954,4373,Low
7 Series,2015,Middle East,Red,Electric,Manual,2.1,58133,70417,2320,Low
X5,2023,Middle East,Grey,Petrol,Automatic,2.5,85613,69258,6332,Low
7 Series,2019,Africa,Silver,Hybrid,Automatic,3.3,43501,106750,5092,Low
X5,2021,South America,Black,Petrol,Automatic,4.3,176459,92967,9793,High
i3,2019,Europe,White,Hybrid,Manual,3,24937,113015,3365,Low
3 Series,2022,Middle East,Grey,Petrol,Manual,2.2,171644,30159,7580,High
M5,2022,Asia,White,Diesel,Manual,1.8,139132,54910,3243,Low
i3,2020,Africa,Red,Petrol,Automatic,3.8,166727,57067,5202,Low
7 Series,2015,Asia,Black,Hybrid,Manual,3,23805,37371,1020,Low
X5,2017,Africa,Black,Diesel,Automatic,1.9,113594,119282,566,Low
i3,2017,Middle East,Grey,Petrol,Manual,3.9,40495,63755,4848,Low
i3,2020,Europe,Red,Hybrid,Automatic,2.2,2257,112901,9385,High
i3,2018,Asia,Silver,Electric,Automatic,3.3,188147,110534,7906,High
7 Series,2017,Africa,Grey,Electric,Manual,2.6,55322,42790,5638,Low
X6,2022,Africa,Grey,Petrol,Automatic,4.8,125375,49851,4976,Low
i8,2020,Middle East,Black,Hybrid,Automatic,2.3,12137,97777,9018,High
i3,2011,Asia,Blue,Petrol,Automatic,3,18548,100671,8112,High
X3,2023,South America,Red,Petrol,Automatic,4.9,58942,36340,1569,Low
i3,2023,North America,White,Petrol,Manual,2.6,115114,42579,6487,Low
i3,2021,South America,Black,Hybrid,Manual,3.8,149701,69371,5235,Low
3 Series,2019,Africa,Silver,Electric,Automatic,2.6,41115,119482,4986,Low
X3,2021,Middle East,Silver,Hybrid,Automatic,1.9,150684,43055,8202,High
5 Series,2020,North America,Grey,Diesel,Automatic,3.7,8593,55436,4747,Low
i8,2024,Europe,White,Diesel,Manual,4.7,74346,58556,4483,Low
3 Series,2010,Africa,Silver,Hybrid,Manual,3.1,52525,86222,2874,Low
X6,2019,North America,Blue,Petrol,Manual,3.7,190957,62406,5222,Low
5 Series,2011,South America,Blue,Electric,Automatic,3.6,162902,114289,5676,Low
i8,2011,South America,Red,Hybrid,Manual,3,99128,65029,3945,Low
i8,2021,Europe,Blue,Hybrid,Manual,3.7,151544,53058,1736,Low
M3,2012,Asia,Black,Hybrid,Manual,2.4,3811,55192,3597,Low
5 Series,2019,Europe,White,Diesel,Automatic,2.8,32563,52748,2033,Low
3 Series,2016,Middle East,Blue,Electric,Manual,3,121105,54743,7286,High
5 Series,2011,Middle East,White,Electric,Automatic,4.5,186664,77279,8766,High
X1,2023,Europe,Silver,Electric,Manual,2.7,152116,51764,3777,Low
X3,2010,Europe,Grey,Petrol,Automatic,3.7,139276,40949,2118,Low
X6,2023,Asia,Red,Electric,Manual,2.2,199318,67306,1189,Low
M3,2015,Middle East,Grey,Petrol,Manual,2.4,196146,48326,8741,High
X3,2018,Europe,Red,Hybrid,Automatic,3.8,161514,105502,5106,Low
i8,2024,Middle East,Blue,Diesel,Automatic,4.2,129655,114420,4651,Low
i8,2012,Europe,Blue,Hybrid,Automatic,3.1,174448,77213,257,Low
i8,2015,Africa,Red,Diesel,Manual,2.7,116252,76635,4681,Low
M3,2012,North America,Grey,Diesel,Automatic,4.7,125557,83190,6298,Low
3 Series,2023,Europe,Blue,Diesel,Manual,2,154333,62794,4666,Low
3 Series,2022,Asia,Black,Diesel,Manual,4,58517,43454,1218,Low
3 Series,2010,North America,White,Petrol,Automatic,3.9,13534,77521,8836,High
5 Series,2023,Europe,Silver,Petrol,Manual,3.9,133417,43876,9965,High
X1,2022,Europe,Silver,Hybrid,Automatic,4.8,190403,59530,1124,Low
i8,2021,Europe,White,Diesel,Manual,4,91623,95050,8202,High
X5,2014,North America,Grey,Petrol,Manual,2.6,39681,50883,848,Low
X1,2019,Europe,Silver,Diesel,Manual,2.7,40231,97569,4118,Low
X3,2023,North America,White,Diesel,Automatic,2.9,86390,74021,255,Low
5 Series,2022,Middle East,Red,Petrol,Manual,1.6,78233,99270,7582,High
7 Series,2020,Asia,Silver,Petrol,Automatic,4.7,72597,73650,5057,Low
i3,2013,Europe,Silver,Electric,Automatic,1.8,24935,85240,9120,High
X5,2016,South America,Blue,Electric,Automatic,3.9,28369,106532,6470,Low
M5,2015,Europe,Grey,Petrol,Manual,4.1,179911,81705,349,Low
i8,2019,Africa,Silver,Petrol,Manual,4.5,196457,107769,8645,High
X5,2016,Africa,Black,Petrol,Automatic,3.4,41674,79700,4055,Low
i8,2014,Africa,Silver,Electric,Manual,4,125627,31048,5073,Low
X6,2024,Africa,Black,Electric,Manual,2.6,17897,66995,1833,Low
X5,2024,Africa,Red,Hybrid,Manual,4.1,197006,44388,7926,High
X1,2013,North America,Silver,Diesel,Automatic,2.7,1255,116958,2177,Low
7 Series,2016,Africa,White,Electric,Manual,4.7,180526,95862,1462,Low
i3,2016,North America,Grey,Electric,Automatic,2.1,177279,56417,1845,Low
X5,2015,North America,Red,Electric,Manual,2.6,87378,46129,418,Low
i8,2017,North America,Grey,Petrol,Automatic,3.2,184635,80898,7860,High
X1,2013,Europe,Silver,Diesel,Manual,4.2,33662,106340,2221,Low
X5,2019,Asia,Red,Diesel,Automatic,4.1,134928,52652,4611,Low
X3,2014,Europe,Black,Diesel,Automatic,2.2,47352,114879,9708,High
3 Series,2013,Africa,Red,Petrol,Manual,2,10129,36249,6972,Low
X3,2021,Africa,Silver,Hybrid,Automatic,2.6,31809,45266,3141,Low
3 Series,2010,Europe,Black,Petrol,Manual,3.2,86383,77894,7500,High
7 Series,2021,Asia,Black,Electric,Automatic,3.4,107088,51591,6107,Low
i3,2017,Africa,Blue,Diesel,Manual,3,170638,48895,6180,Low
i8,2010,South America,Red,Electric,Automatic,3.8,51095,73328,1491,Low
3 Series,2014,Europe,Black,Petrol,Automatic,3,184086,62981,6246,Low
i3,2024,Africa,Grey,Electric,Automatic,4.8,41149,114496,9011,High
M3,2015,Africa,Black,Petrol,Manual,2.4,89292,54491,9849,High
X1,2015,Asia,Silver,Petrol,Automatic,3.7,67312,72194,680,Low
i3,2022,South America,Silver,Electric,Automatic,3.6,43763,47611,9694,High
3 Series,2014,Middle East,Red,Petrol,Automatic,2.5,123659,75842,7941,High
i3,2012,Europe,Grey,Hybrid,Manual,2.9,4194,36892,8396,High
5 Series,2024,South America,Black,Hybrid,Automatic,2.8,102271,99531,2354,Low
X1,2014,South America,Red,Electric,Manual,2.1,155995,35110,8771,High
M5,2021,Asia,Silver,Hybrid,Manual,3.2,63241,34929,9169,High
X5,2017,Africa,Grey,Diesel,Manual,2.9,91180,84873,3388,Low
X1,2023,South America,Grey,Petrol,Automatic,2.1,69335,48665,3762,Low
3 Series,2011,South America,Silver,Hybrid,Automatic,3.1,127323,93923,3969,Low
M3,2015,Europe,White,Hybrid,Automatic,3,101734,119500,2042,Low
X5,2018,Africa,White,Hybrid,Manual,2,121736,89252,9319,High
M5,2017,Africa,Red,Electric,Automatic,2,95843,94833,5697,Low
M3,2023,Africa,Red,Diesel,Manual,3.8,59746,60848,7089,High
X3,2020,Middle East,Silver,Diesel,Manual,4,89537,77692,231,Low
5 Series,2017,Africa,Silver,Electric,Manual,4.8,37817,88007,6147,Low
M3,2017,Middle East,Black,Diesel,Manual,1.8,156411,47619,3823,Low
X3,2024,Europe,Silver,Petrol,Manual,1.9,22376,101357,5681,Low
M3,2022,Asia,Red,Hybrid,Manual,1.7,91621,117221,8916,High
M5,2016,Asia,Grey,Diesel,Manual,3.4,60566,49874,4078,Low
5 Series,2017,Middle East,Silver,Petrol,Manual,3.7,199563,66899,4652,Low
X6,2022,South America,Red,Diesel,Manual,2.9,157938,84490,4065,Low
X3,2015,North America,Blue,Hybrid,Manual,4.3,76628,66908,1827,Low
5 Series,2011,North America,White,Electric,Manual,3.9,21532,89606,116,Low
7 Series,2011,South America,Blue,Petrol,Automatic,5,112867,111134,4714,Low
X6,2017,South America,White,Petrol,Automatic,2,11370,102112,1086,Low
X5,2020,South America,White,Hybrid,Manual,1.7,192282,85154,8683,High
i8,2010,South America,Black,Electric,Manual,2.5,61125,117694,1854,Low
X3,2015,South America,Red,Electric,Automatic,1.6,122003,109692,584,Low
X5,2022,Middle East,Blue,Electric,Automatic,4.8,143029,81006,9894,High
i3,2015,South America,White,Electric,Manual,2.6,197303,114288,4281,Low
3 Series,2020,South America,White,Diesel,Automatic,3.4,199144,33082,4012,Low
5 Series,2013,Europe,Red,Electric,Manual,2.6,189078,100614,5909,Low
X6,2021,South America,Silver,Diesel,Automatic,2.4,156943,119981,4544,Low
X3,2020,Middle East,Red,Hybrid,Automatic,2,32283,80424,6875,Low
X6,2022,Middle East,Grey,Electric,Automatic,2.6,160731,58893,2410,Low
X1,2024,Middle East,Black,Electric,Automatic,3.7,77544,64798,5572,Low
X1,2020,Africa,Black,Hybrid,Manual,4.9,186901,106163,6573,Low
i8,2022,North America,White,Electric,Automatic,3.5,84710,105511,8659,High
i3,2019,Middle East,Grey,Petrol,Manual,3.4,84317,106602,8299,High
X3,2012,Africa,Red,Electric,Automatic,1.6,149617,103550,4084,Low
3 Series,2022,North America,Black,Electric,Automatic,4.4,157364,46675,9265,High
5 Series,2020,South America,Silver,Hybrid,Automatic,1.7,72840,101847,343,Low
M3,2012,North America,Black,Petrol,Automatic,4.7,186201,77377,7496,High
M5,2024,North America,Silver,Petrol,Manual,3.4,164265,91123,4792,Low
M5,2024,Europe,Grey,Hybrid,Automatic,2.1,163962,74299,5971,Low
i8,2022,Europe,Silver,Electric,Automatic,3.1,69685,48392,7479,High
M5,2022,North America,Grey,Electric,Automatic,5,15690,48682,6849,Low
i3,2010,North America,White,Hybrid,Automatic,2.6,145272,63509,2498,Low
X6,2012,South America,White,Electric,Manual,2.4,198040,38203,9531,High
3 Series,2013,Asia,Black,Diesel,Automatic,1.9,66650,98784,2243,Low
M3,2020,Africa,Blue,Diesel,Automatic,3.6,123378,85966,8176,High
5 Series,2020,South America,White,Electric,Manual,1.8,79369,87124,8693,High
X5,2014,Middle East,Blue,Diesel,Manual,4.2,130510,91583,1372,Low
X5,2012,Asia,White,Diesel,Automatic,4.7,5060,42618,7982,High
7 Series,2015,South America,Silver,Hybrid,Automatic,4.8,2311,81810,6530,Low
i3,2020,Europe,Black,Electric,Automatic,1.9,16069,113859,4817,Low
7 Series,2023,Asia,Black,Hybrid,Automatic,3.5,186112,97411,411,Low
3 Series,2024,South America,Black,Hybrid,Automatic,1.8,133932,88522,5883,Low
3 Series,2021,Europe,Grey,Electric,Manual,3.5,62218,63167,2664,Low
7 Series,2014,Europe,Grey,Electric,Manual,4.4,21693,110846,304,Low
i3,2012,Asia,Black,Diesel,Manual,3.4,67798,97938,3599,Low
i3,2015,Asia,Blue,Petrol,Automatic,4.6,183715,98327,3441,Low
X1,2015,North America,Grey,Petrol,Automatic,4.3,180263,77846,5986,Low
X1,2024,Africa,Blue,Hybrid,Manual,2.5,3290,100203,429,Low
M3,2023,North America,Red,Hybrid,Automatic,3.7,133484,99774,6246,Low
i8,2017,Europe,Black,Diesel,Manual,1.5,65492,35733,7533,High
X5,2011,Europe,Blue,Petrol,Manual,2.9,105656,59557,3018,Low
5 Series,2010,Asia,Blue,Electric,Automatic,2.3,56714,52550,5629,Low
i3,2013,Asia,Black,Electric,Automatic,4.8,37557,33873,4933,Low
3 Series,2016,North America,Blue,Petrol,Automatic,2.9,66942,56666,5503,Low
i3,2024,Middle East,Blue,Electric,Automatic,3.8,94001,81465,4625,Low
3 Series,2020,South America,Black,Petrol,Automatic,4.1,53603,49836,3085,Low
M3,2019,Middle East,Grey,Petrol,Manual,4.2,177414,80410,4334,Low
X1,2012,South America,Red,Electric,Manual,4.1,125787,59826,375,Low
M3,2012,Asia,Grey,Hybrid,Automatic,2.5,93499,119615,1915,Low
X6,2014,Africa,Red,Electric,Manual,3.9,196054,61567,3921,Low
X6,2014,North America,Red,Electric,Automatic,3.4,90918,68119,377,Low
M5,2022,Europe,Grey,Hybrid,Automatic,3.6,112178,87966,7148,High
5 Series,2019,Europe,Grey,Electric,Manual,1.5,44934,117922,3480,Low
X3,2012,North America,Silver,Electric,Automatic,2.4,46548,42610,1616,Low
X1,2018,South America,Grey,Petrol,Manual,4.8,33915,65236,9054,High
